SchoolItem1,relation,SchoolItem2
周干峙,educated at,清华大学
杨树锋,employer,浙江大学
朱松纯,educated at,中国科学技术大学
徐飞,educated at,西南交通大学
杨新,educated at,中央美术学院
王鸿祯,educated at,北京大学
叶志镇,employer,浙江大学
项昌乐,employer,北京理工大学
张本仁,employer,中国地质大学
陈定昌,educated at,清华大学
徐忠明,educated at,香港树仁大学
夏甄陶,educated at,北京大学
叶志镇,educated at,浙江大学
项昌乐,educated at,北京理工大学
杨树锋,educated at,南京大学
谢绳武,employer,上海交通大学
张本仁,educated at,南京大学
谢绳武,educated at,上海交通大学
张本仁,educated at,中国地质大学
杨遵仪,educated at,中国地质大学
谈振辉,educated at,东南大学
许京军,educated at,南开大学
杨念群,employer,中国人民大学清史研究所
谭建荣,employer,浙江大学
杨念群,educated at,清华大学
叶培大,educated at,天津大学
沈向洋,educated at,香港大学
王玉芝,educated at,哈尔滨工业大学
谭建荣,educated at,浙江大学
孙优贤,employer,浙江大学
汪光焘,educated at,同济大学
谭建荣,educated at,华中科技大学
孙优贤,educated at,浙江大学
倪晋仁,educated at,武汉大学
李道增,educated at,清华大学
倪晋仁,educated at,清华大学
彭玉平,educated at,复旦大学
彭玉平,educated at,安徽师范大学
马国馨,educated at,清华大学
李正名,educated at,南开大学
江亿,educated at,清华大学
莫宣学,educated at,中国地质大学
李未,employer,北京航空航天大学
关肇邺,educated at,清华大学
姜澄宇,employer,南京航空航天大学
潘云鹤,employer,浙江大学
韩德培,employer,武汉大学
方立天,educated at,北京大学
姜澄宇,educated at,南京航空航天大学
韩德培,educated at,南京大学
刘则渊,employer,大连理工大学
李未,educated at,北京大学
冯华君,educated at,华南理工大学
傅熹年,educated at,清华大学
葛墨林,employer,北京理工大学
樊建人,employer,浙江大学
黄达人,employer,浙江大学
冯登国,educated at,西安电子科技大学
韩祯祥,employer,浙江大学
韩德培,educated at,浙江大学
潘云鹤,educated at,浙江大学
冯培恩,employer,浙江大学
葛墨林,educated at,兰州大学
黄达人,educated at,浙江大学
潘云鹤,educated at,同济大学
岑可法,employer,浙江大学
单平,educated at,天津大学
戴先中,employer,东南大学
韩祯祥,educated at,浙江大学
岑可法,educated at,武汉大学
冯培恩,educated at,同济大学
戴先中,educated at,清华大学
浙江大学宁波理工学院,parent organization,浙江大学
岑可法,educated at,华中科技大学
艾晓明,employer,中山大学
艾晓明,educated at,北京师范大学
陈永川,educated at,四川大学
程津培,educated at,南开大学
浙江大学,subsidiary,浙江大学宁波理工学院
安芷生,educated at,南京大学
浙江大学,subsidiary,浙江大学图书馆
天津北洋大学,replaced by,天津大学
钱培德,educated at,南京大学
大夏大学,replaced by,华东师范大学
复旦大学,subsidiary,复旦大学历史地理研究中心
北方大学,replaced by,华北大学
西北农业大学,replaced by,西北农林科技大学
中国协和医科大学,affiliation,清华大学
谈敏,educated at,上海财经大学
孙逢春,educated at,北京理工大学
北京大学,replaces,京师大学堂
谈敏,educated at,安徽师范大学
刘业翔,educated at,中南大学
储成才,educated at,安徽师范大学
於崇文,educated at,北京大学
吴德星,educated at,中国海洋大学
丑纪范,employer,兰州大学
陈联寿,educated at,南京大学
郑有炓,educated at,南京大学
朱清时,employer,中国科学技术大学
王成善,educated at,中国地质大学
丑纪范,educated at,北京大学
朱清时,educated at,中国科学技术大学
施建成,educated at,兰州大学
北京大学中国古代史研究中心,part of,北京大学
京师大学堂,replaced by,北京大学
舒其望,educated at,中国科学技术大学
尤中,employer,云南大学
沙祖康,educated at,南京大学
华北联合大学,replaces,北方大学
唐孝威,employer,浙江大学
高王凌,educated at,中国人民大学
华北联合大学,replaces,华北联合大学
樊弘,educated at,北京大学
唐孝威,educated at,清华大学
杜维明,employer,北京大学
孔庆东,employer,北京大学
赵以炳,employer,清华大学
孔庆东,educated at,北京大学
赵以炳,employer,北京大学
陈雨露,educated at,中国人民大学
